EdgeNumber Node1 Node2 FullCorrelation PartialCorrelation
1 1 2 0.27 0.12
2 1 3 2.29 -0.15
3 2 3 -0.17 -0.34
4 1 4 4.27 1.57
5 2 4 -1.89 -1.61
6 3 4 6.07 2.60
7 1 5 -0.30 -0.21
8 2 5 -6.57 -0.86
9 3 5 -1.58 -0.19
10 4 5 -4.03 -0.69
11 1 6 0.88 -0.05
12 2 6 2.14 0.83
13 3 6 -0.38 -0.39
14 4 6 0.46 0.05
15 5 6 0.50 0.08
16 1 7 0.75 -0.07
17 2 7 -1.05 -0.11
18 3 7 -0.74 -0.20
19 4 7 -2.22 -0.09
20 5 7 8.14 1.88
21 6 7 0.22 -0.36
22 1 8 1.33 0.16
23 2 8 0.24 -0.11
24 3 8 4.50 0.95
25 4 8 -2.45 -1.23
26 5 8 -0.40 -0.30
27 6 8 -1.16 -0.28
28 7 8 0.06 0.06
29 1 9 1.26 -0.06
30 2 9 -3.96 -1.00
31 3 9 -0.41 -0.05
32 4 9 -2.11 -0.23
33 5 9 5.20 0.58
34 6 9 1.58 0.10
35 7 9 3.00 -0.01
36 8 9 -1.45 -0.46
37 1 10 -0.43 -0.11
38 2 10 -0.89 0.31
39 3 10 -3.90 -0.78
40 4 10 1.80 0.44
41 5 10 1.65 0.73
42 6 10 -0.48 0.02
43 7 10 3.07 0.74
44 8 10 -0.65 0.41
45 9 10 -3.78 -1.24
46 1 11 -0.65 -0.49
47 2 11 -5.37 -0.75
48 3 11 -2.31 -0.37
49 4 11 -5.73 -1.39
50 5 11 9.30 2.32
51 6 11 0.24 0.23
52 7 11 7.31 1.53
53 8 11 -0.78 -0.22
54 9 11 4.24 0.28
55 10 11 2.59 0.93
56 1 12 -0.80 0.08
57 2 12 -3.81 -1.26
58 3 12 -0.57 0.02
59 4 12 -3.86 -1.09
60 5 12 -0.51 -2.07
61 6 12 -1.01 -0.24
62 7 12 -1.80 -1.12
63 8 12 0.09 -0.16
64 9 12 -1.33 -0.82
65 10 12 -1.08 -0.11
66 11 12 10.80 6.56
67 1 13 0.09 -0.01
68 2 13 -4.90 -0.75
69 3 13 -1.42 -0.43
70 4 13 -3.93 -0.26
71 5 13 9.56 2.00
72 6 13 -0.58 -0.29
73 7 13 5.91 0.95
74 8 13 0.40 0.17
75 9 13 6.00 0.52
76 10 13 -4.52 -1.61
77 11 13 6.67 1.08
78 12 13 0.16 -0.43
79 1 14 7.67 2.03
80 2 14 0.23 -0.32
81 3 14 9.22 2.37
82 4 14 2.87 1.40
83 5 14 -1.43 -0.16
84 6 14 0.32 -0.12
85 7 14 -0.83 -0.43
86 8 14 10.50 4.14
87 9 14 -0.48 -0.18
88 10 14 -3.20 -1.07
89 11 14 -2.25 -0.76
90 12 14 -0.41 0.18
91 13 14 -1.35 -0.66
92 1 15 -0.51 -0.29
93 2 15 2.68 0.58
94 3 15 -0.51 -0.39
95 4 15 -3.33 -0.75
96 5 15 -3.06 -0.81
97 6 15 -1.68 -0.41
98 7 15 1.19 0.90
99 8 15 0.90 0.05
